RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.375,22.875
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.13333333333333333,13.044444444444444
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.25,30.25
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.1951219512195122,17.853658536585368
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.25,19.875
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.10526315789473684,13.421052631578947
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.06521739130434782,14.543478260869565
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.13157894736842105,22.263157894736842
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.12,23.08
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045993356345302,0.05555555555555555,21.0
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.20454545454545456,12.977272727272727
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108499439500544,0.06976744186046512,13.348837209302326
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.1161852476693153,0.0,14.172413793103448
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.07692307692307693,15.153846153846153
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443160872600863,0.19444444444444445,14.805555555555555
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.344494993272796,0.21951219512195122,13.487804878048781
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.14285714285714285,12.380952380952381
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.3103448275862069,24.896551724137932
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825651017378075,0.0,10.555555555555555
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.273466672195592,0.0967741935483871,15.806451612903226
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775105900301108,0.21212121212121213,24.363636363636363
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.19444444444444445,23.61111111111111
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950574716000153,0.14634146341463414,14.195121951219512
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,0.1,11.8
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.675807546319547,0.1568627450980392,9.117647058823529
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1.2471011535059169,0.03278688524590164,9.114754098360656
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6760170104034784,0.04081632653061224,17.020408163265305
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.9847966118639957,0.08196721311475409,10.819672131147541
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.8648697974176844,0.125,24.25
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.9359898539958119,0.3333333333333333,30.703703703703702
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1.1719139486562127,0.23076923076923078,16.333333333333332
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1.1376926439837616,0.05263157894736842,14.473684210526315
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.5346197344944171,0.05405405405405406,20.972972972972972
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.5875182445487499,0.22727272727272727,15.863636363636363
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,1.6899241731836212,0.1388888888888889,16.25
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.0,0.15151515151515152,23.87878787878788
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.7654306906556375,0.1951219512195122,15.975609756097562
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2.4614847121412198,0.023809523809523808,14.30952380952381
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1.1040594216637278,0.023255813953488372,14.395348837209303
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1.4678907929586371,0.1111111111111111,14.577777777777778
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,1.6637132443616234,0.0,38.1578947368421
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.0,0.06060606060606061,7.742424242424242
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.8698167066022907,0.0784313725490196,12.03921568627451
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1.619426060267494,0.14285714285714285,21.2
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1.2042301811252034,0.3333333333333333,25.444444444444443
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.3136760434798731,0.030303030303030304,16.818181818181817
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.7918355997020474,0.14285714285714285,12.214285714285714
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1.17584642592519,0.15384615384615385,23.192307692307693
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,6.1182094331221295,0.16666666666666666,20.86111111111111
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.9203264539260578,0.029411764705882353,17.08823529411765
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.6263179726295305,0.23255813953488372,17.093023255813954
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1.3261455864736704,0.14285714285714285,18.885714285714286
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,5.404233368126133,0.38095238095238093,32.142857142857146
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,4.713685060827113,0.034482758620689655,12.724137931034482
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.0,0.20689655172413793,28.03448275862069
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3.701222639358151,0.0,17.756756756756758
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2.7004869853411475,0.2,24.16
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.0,0.25,14.416666666666666
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,7.982767107378953,0.047619047619047616,35.0
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.0,0.14545454545454545,12.072727272727272
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.0,0.28125,21.1875
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.39772120653236415,0.15151515151515152,22.939393939393938
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1.2430077187952466,0.24390243902439024,10.146341463414634
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.5638146924813343,0.029411764705882353,19.558823529411764
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.0,0.0625,24.28125
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.0,0.08333333333333333,15.083333333333334
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.5671332026964625,0.11764705882352941,14.882352941176471
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.0,0.08695652173913043,10.717391304347826
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.0,0.13333333333333333,8.693333333333333
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.945885037975146,0.13636363636363635,34.09090909090909
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.0,0.3,24.3
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.0,0.08695652173913043,14.043478260869565
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.520587805348458,0.10714285714285714,22.678571428571427
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.0,0.11363636363636363,14.704545454545455
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.8062568246327154,0.15555555555555556,17.955555555555556
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.0,0.2777777777777778,14.555555555555555
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.0,0.27586206896551724,26.517241379310345
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.0,0.09523809523809523,17.38095238095238
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1.453472763106317,0.2857142857142857,14.714285714285714
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,1.5918730866433677,0.21951219512195122,18.853658536585368
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.4921345527205952,0.27586206896551724,28.06896551724138
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.0,0.36363636363636365,32.27272727272727
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0,0.2647058823529412,12.147058823529411
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.0,0.15,16.625
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.0,0.13636363636363635,14.159090909090908
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,1.9698053786068,0.2903225806451613,23.806451612903224
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.0,0.19444444444444445,14.666666666666666
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.0,0.015384615384615385,10.307692307692308
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3.4556942660851733,0.08695652173913043,13.521739130434783
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,8.845626797075546,0.03125,18.1875
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,2.699195327196827,0.05555555555555555,21.805555555555557
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,2.0886024603275213,0.15151515151515152,18.333333333333332
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.933474315599841,0.2571428571428571,13.685714285714285
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,1.435204131453732,0.1,22.833333333333332
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,3.968053626604131,0.1794871794871795,13.794871794871796
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1.154854159818824,0.047619047619047616,13.380952380952381
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4.618120909859479,0.25,18.75
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1.524917142920885,0.32142857142857145,25.75
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1.7844525073976194,0.3,20.933333333333334
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,1.4516333646926118,0.16216216216216217,18.054054054054053
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.0,0.024390243902439025,12.341463414634147
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.5398343695811534,0.25806451612903225,16.903225806451612
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,1.5324583678433508,0.11764705882352941,20.558823529411764
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,3.394370101361673,0.23529411764705882,24.352941176470587
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,1.2003623255347122,0.15384615384615385,17.28205128205128
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.0,0.15384615384615385,16.82051282051282
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.6378883977619471,0.20833333333333334,14.25
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.0,0.10714285714285714,22.321428571428573
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1.3839669691010512,0.21428571428571427,10.285714285714286
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.0,0.019230769230769232,10.557692307692308
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,3.17159974098797,0.0,11.160714285714286
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.0,0.17073170731707318,20.195121951219512
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.6088083950175883,0.375,32.083333333333336
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.0,0.08823529411764706,22.294117647058822
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,1.138575637526568,0.2727272727272727,24.09090909090909
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,3.442143364239482,0.23684210526315788,18.07894736842105
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.0,0.04,27.44
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,1.003354845886717,0.1794871794871795,20.23076923076923
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,4.146821677428069,0.1,11.78
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.3794391822642741,0.14705882352941177,13.558823529411764
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,1.4325402558505127,0.05,15.925
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,2.835852250993697,0.041666666666666664,12.166666666666666
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,15.073090725808798,0.02857142857142857,16.542857142857144
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.7251728491394341,0.22727272727272727,17.181818181818183
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.0,0.20588235294117646,19.5
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.6510087791468093,0.11627906976744186,15.86046511627907
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.0,0.038461538461538464,15.25
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.32417641361676347,0.16129032258064516,22.29032258064516
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2.090027428128146,0.23809523809523808,23.095238095238095
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.9803043774217084,0.27586206896551724,21.896551724137932
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,4.36689320241698,0.13513513513513514,17.56756756756757
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,1.612607324195705,0.20454545454545456,16.704545454545453
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,0.0,0.0,13.0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.0,0.21875,23.5625
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.0,0.1875,11.145833333333334
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.0,0.19047619047619047,17.047619047619047
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,1.293608513331783,0.05405405405405406,14.567567567567568
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.0,0.13953488372093023,14.279069767441861
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.0,0.12280701754385964,12.385964912280702
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.0,0.21212121212121213,22.96969696969697
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.0,0.07142857142857142,20.928571428571427
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.9287582675497609,0.0821917808219178,8.849315068493151
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,1.0937027038563347,0.12121212121212122,19.12121212121212
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,1.1931614520783815,0.2727272727272727,32.59090909090909
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0,0.06666666666666667,22.8
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,2.2919280188417597,0.14285714285714285,16.3265306122449
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.0,0.05555555555555555,20.02777777777778
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,2.405483628491969,0.0,23.551724137931036
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.8950152647628306,0.2903225806451613,21.29032258064516
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.6955803038802615,0.2916666666666667,29.333333333333332
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.554774820310396,0.21951219512195122,15.0
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.0,0.05128205128205128,17.102564102564102
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,1.0902526240112318,0.375,28.416666666666668
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.7932938900750399,0.13793103448275862,16.689655172413794
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.6142843424641096,0.18518518518518517,23.25925925925926
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,23.68274709010178,0.22727272727272727,10.909090909090908
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1.5105308444080607,0.13333333333333333,19.266666666666666
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.0,0.125,12.8
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,4.9060954112167,0.2,13.82857142857143
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.0,0.0,17.0
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,1.0620433383779786,0.1388888888888889,16.833333333333332
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,1.0761705832773758,0.2,14.925
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,19.998986492757567,0.05454545454545454,13.709090909090909
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,6.2780038496086235,0.044444444444444446,18.88888888888889
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.0,0.03076923076923077,7.846153846153846
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.929062282077017,0.022222222222222223,17.288888888888888
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.0,0.047619047619047616,15.142857142857142
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.0,0.08,16.08
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.0,0.25,16.0625
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.507888192512996,0.02564102564102564,18.71794871794872
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.0,0.0,14.18918918918919
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.0,0.16666666666666666,20.533333333333335
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.7497617873848413,0.20588235294117646,20.205882352941178
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.6045738014882568,0.1951219512195122,17.4390243902439
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,4.77092234613609,0.08333333333333333,14.222222222222221
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0.0,0.025,11.975
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,1.0696371856478724,0.25,18.78125
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0.48181995630780666,0.3103448275862069,20.0
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,291.1422313278699,0.08571428571428572,23.057142857142857
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0.0,0.1875,19.25
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0.6792350038261915,0.08108108108108109,19.486486486486488
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0.0,0.17543859649122806,8.789473684210526
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,9.19334429142942,0.17142857142857143,14.885714285714286
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,23.592387340671106,0.06666666666666667,28.333333333333332
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0.8683057096397913,0.09523809523809523,18.071428571428573
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,0.0,0.1,10.32
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,8.975535066080644,0.05263157894736842,18.710526315789473
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,1.8661158032199379,0.09090909090909091,15.515151515151516
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0.0,0.08108108108108109,14.864864864864865
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,0.4503848729337797,0.07317073170731707,14.829268292682928
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0.8881252460030934,0.14705882352941177,18.176470588235293
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,0.0,0.1111111111111111,14.28888888888889
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0.6721454864643785,0.044444444444444446,14.911111111111111
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0.9553242701847129,0.06060606060606061,20.87878787878788
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0.0,0.25806451612903225,19.451612903225808
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.0,0.21951219512195122,15.121951219512194
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,1.5523127722144054,0.029411764705882353,19.88235294117647
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,1.9575094369597845,0.15384615384615385,22.0
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,0.6764679218698623,0.14893617021276595,14.212765957446809
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0.37225426807272444,0.15217391304347827,15.108695652173912
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0.0,0.2727272727272727,22.12121212121212
